Size,Merge Sort,Hybrid Sort,,,,,
9.90E+06,8.76E+07,8.26E+07,,,,,
9.91E+06,8.78E+07,8.29E+07,,,,,
9.92E+06,8.81E+07,8.32E+07,,,,,
9.93E+06,8.83E+07,8.34E+07,,,,,
9.94E+06,8.86E+07,8.37E+07,,,Row Labels,Sum of Merge Sort,Sum of Hybrid Sort
9.95E+06,8.88E+07,8.39E+07,,,9900000,87557207,82645327
9.96E+06,8.91E+07,8.42E+07,,,9910000,87807207,82899500
9.97E+06,8.93E+07,8.44E+07,,,9920000,88057207,83153049
9.98E+06,8.96E+07,8.47E+07,,,9930000,88307207,83406714
9.99E+06,8.98E+07,8.49E+07,,,9940000,88557207,83661114
1.00E+07,9.01E+07,8.52E+07,,,9950000,88807207,83915530
1.00E+07,9.03E+07,8.54E+07,,,9960000,89057207,84167924
1.00E+07,9.06E+07,8.57E+07,,,9970000,89307207,84423750
1.00E+07,9.08E+07,8.59E+07,,,9980000,89557207,84676348
1.00E+07,9.11E+07,8.62E+07,,,9990000,89807207,84930495
1.01E+07,9.13E+07,8.65E+07,,,10000000,90057207,85185644
1.01E+07,9.16E+07,8.67E+07,,,10010000,90307207,85437974
1.01E+07,9.18E+07,8.70E+07,,,10020000,90557207,85692483
1.01E+07,9.21E+07,8.72E+07,,,10030000,90807207,85946499
1.01E+07,9.23E+07,8.75E+07,,,10040000,91057207,86200339
1.01E+07,9.26E+07,8.77E+07,,,10050000,91307207,86455239
1.01E+07,9.28E+07,8.80E+07,,,10060000,91557207,86708500
1.01E+07,9.31E+07,8.82E+07,,,10070000,91807207,86962475
1.01E+07,9.33E+07,8.85E+07,,,10080000,92057207,87215925
1.01E+07,9.36E+07,8.87E+07,,,10090000,92307207,87470145
,,,,,10100000,92557207,87723318
,,,,,10110000,92807207,87977796
,,,,,10120000,93057207,88230827
,,,,,10130000,93307207,88485592
,,,,,10140000,93557207,88740142
,,,,,Grand Total,2263930175,2142312649
